"starts","kaks"
19,0.177889447236181
25,0.297702297702298
31,0.159111933395005
34,0.972136241302215
40,0.227567067530065
52,1.04243008678881
61,0.316373728029602
73,0.0425531914893617
76,1.35430916552668
79,1.62396006655574
82,1.287841191067
85,0.227411013234604
88,2.1978021978022
91,0.259019426456984
106,0.0425531914893617
118,0.122109158186864
130,0.574029233656254
151,1.07036669970268
154,0.159111933395005
205,0.421052631578947
211,0.0425531914893617
214,0.0425531914893617
229,0.304859164530821
235,0.122109158186864
238,0.0425531914893617
241,0.00203142839982841
250,0.342275670675301
259,0.577243293246994
268,0.427382053654024
271,0.980573543015726
277,0.379834254143646
304,0.0425531914893617
316,0.0444444444444444
319,0.0443587270973963
340,0.543015726179463
352,0.388529139685476
NA,NA
