"starts","kaks"
19,1.66010733452594
25,0.256304667350721
31,1.13134851138354
34,0.0425531914893617
43,1.68209403807894
52,0.508788159111933
58,0.59283710866978
76,0.159111933395005
82,0.615469356903906
88,0.921097158757846
91,0.115688735211093
100,0.136702332725286
NA,NA
124,0.259019426456984
127,0.0425531914893617
145,1.22196796338673
148,0.916666666666667
163,0.252583237657865
172,0.159111933395005
181,0.55689203304224
184,0.625346901017576
193,0.366327474560592
202,0.877302235003368
205,0.329324699352451
220,0.140918580375783
223,1.4978102189781
226,0.492292870905588
235,0.508788159111933
250,1.22009029345372
268,1.17625899280576
271,0.725471799136277
277,0.561517113783534
280,1.28953771289538
283,0.144578313253012
307,0.159111933395005
310,0.57797307687414
325,0.436632747456059
328,0.227567067530065
331,0.52358926919519
343,1.17745638364081
391,0.0444444444444444
403,0.761673130165767
430,0.218185481317611
466,1.05299145299145
493,1.08980827447023
535,0.505021130436568
562,0.993439550140581
607,0.0425531914893617
646,0.0425531914893617
658,1.41308411214953
715,1.56964006259781
721,0.0425925925925926
745,0.956692913385827
757,0.599078341013825
769,0.427382053654024
847,0.458834412580944
925,0.427382053654024
985,1.13593256059009
994,0.444033302497687
1006,1.22260273972603
1060,1.42088091353997
1099,1.04748062015504
1105,0.744090441932168
1111,0.316373728029602
1126,0.227567067530065
1129,0.988112927191679
1147,0.482886216466235
1150,0.227567067530065
1153,1.3179347826087
1156,1.22962112514351
1189,0.16
1195,0.408880666049954
1204,0.194264569842738
1243,0.0425531914893617
1261,0.388529139685476
1267,1.24097788125728
1294,0.227567067530065
1297,0.362860192102455
1312,0.0918264379414733
1333,1.1147880041365
1339,0.408880666049954
1345,1.47413793103448
1366,0.99722479185939
1378,0.482886216466235
1384,0.0425531914893617
1414,1.34993446920052
1417,0.69838714670417
1420,0.270120259019426
1435,1.15154994259472
1441,0.957446808510638
1459,0.316373728029602
1480,0.533774397723059
